Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,1325,1312,1325,1,1,1,1,3,33,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,0,0,0,1,SC,1,120
24,1393,1386,1393,1,1,1,1,3,34,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1751,1710,1751,1,1,1,1,3,35,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1102,1095,1102,0,1,0,1,3,36,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,0,0
24,1756,1746,1756,1,1,1,0,3,37,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,0,70
24,1459,1481,1481,1,1,1,1,3,38,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1210,1184,1210,1,0,0,1,3,39,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,0,2,0,0,0,1,SC,0,160
24,1543,1500,1543,1,1,1,0,3,40,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,0,0
24,1710,1700,1710,1,1,1,1,3,41,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,200
24,1476,1467,1476,1,0,0,1,3,42,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,0,0
24,1408,1414,1414,1,1,1,0,3,43,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,0,90
24,1431,1389,1431,1,1,1,1,3,44,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,1246,1188,1246,1,0,0,1,3,45,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,0,150
