Subject,session,session_rev,Reward,RT
49,2,0,1,1105.875
49,3,1,-1,1003.083333
49,3,1,1,1193.333333
49,4,2,-1,1070.5625
49,4,2,1,966.4
49,5,3,-1,1038.090909
49,5,3,1,1024.076923
49,6,4,-1,1042.142857
49,6,4,1,1078.923077
49,7,5,-1,1005.352941
49,7,5,1,1084.846154
49,8,6,-1,937.2
49,8,6,1,1119
49,9,7,-1,1069.368421
49,9,7,1,1213.214286
