Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,1131,1137,1137,6,1,1,1,2,37,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1666,1672,1672,6,1,1,1,2,38,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1401,1359,1401,42,1,1,1,2,39,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1088,1046,1088,42,1,1,1,2,40,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1411,1403,1411,8,1,1,0,3,1,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,1,1,1,1,1,0,0,,,0,1
1,2,1,1,1,1306,1298,1306,8,1,1,1,3,2,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1137,1143,1143,6,1,1,1,3,3,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1816,1806,1816,10,1,1,1,3,4,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1343,1333,1343,10,1,1,1,3,5,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1254,1246,1254,8,1,1,1,3,6,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1149,1155,1155,6,1,1,1,3,7,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1043,1321,1321,278,1,1,1,3,8,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1626,1632,1632,6,1,1,1,3,9,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1217,1223,1223,6,1,1,1,3,10,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1208,1200,1208,8,1,1,1,3,11,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,1,0,1,,,0,1
